tran_id,acct_nbr,tran_amt,principal_amt,interest_amt,new_balance,tran_date,tran_time,channel,tran_code
27,13625623,0,0,0,3753.34,10/21/1995,121656,A,IQ
21,13630842,-97.57,-97.57,0,3819.56,7/23/1995,0,P,WD
31,13625722,0,0,0,240.55,1/25/1995,204521,B,IQ
60,13631642,-40,-40,0,737.03,1/17/1995,83649,A,WD
1,13631542,0,0,0,129.88,1/4/1995,100342,B,IQ
86,13629022,0,0,0,3.73,4/8/1995,131316,A,IQ
46,13634612,0,0,0,1928.39,3/24/1995,141229,K,IQ
27,13630362,-14.01,-14.01,0,2846.99,7/26/1995,0,P,WD
54,4.56E+15,-153.52,-153.52,0,-1354.47,11/10/1995,204225,E,CG
23,13628153,-129.92,-129.92,0,576.09,12/12/1995,110610,B,WD
28,13634042,0,0,0,18.43,10/9/1995,81802,V,IQ
61,13631032,0,0,0,37.12,3/6/1995,112348,C,IQ
28,13633012,-200,-200,0,2448.67,9/24/1995,105400,A,WD
15,4.56E+15,0,0,0,-2200,3/3/1995,190047,A,IQ
24,13629332,302.41,302.41,0,313.38,2/5/1995,0,M,DP
23,4.56E+15,-141.27,-141.27,0,-890.13,12/8/1995,144527,E,CG
29,13626613,113.49,113.49,0,1885.06,12/14/1995,155812,A,DP
55,13632332,0,0,0,2206.02,9/2/1995,40822,A,IQ
79,13629392,-60.12,-60.12,0,51.6,8/2/1995,0,P,WD
9,4.56E+15,-522.32,-522.32,0,-873.02,3/4/1995,15357,E,CG
34,13633752,-20,-20,0,45.29,1/29/1995,145938,A,WD
35,4.56E+15,108.52,108.16,0.36,-669.51,7/3/1995,0,M,PM
30,13632723,-605.59,-605.59,0,1109.98,11/25/1995,120705,C,TR
2,13633652,0,0,0,5892.42,1/1/1995,170623,B,IQ
29,13634453,97.06,97.06,0,549.26,11/23/1995,164518,B,DP
23,13634352,0,0,0,2490.74,1/26/1995,151937,V,IQ
33,4.56E+15,-106.21,-106.21,0,-448.24,8/10/1995,93634,E,CG
48,13625782,-52.56,-52.56,0,61.8,4/14/1995,0,P,WD
16,4.56E+15,-133.39,-133.39,0,-564.58,5/29/1995,141754,E,CG
3,13627832,-145.25,-145.25,0,24.31,1/3/1995,0,P,WD
31,13626322,-588.43,-588.43,0,2373.43,1/14/1995,214024,E,TR
30,4.56E+15,0,0,0,-1000,8/27/1995,191308,C,IQ
94,13631872,297.84,297.84,0,321.66,7/14/1995,152342,A,DP
78,13630262,184.47,184.47,0,334.2,2/2/1995,192539,A,DP
64,13627222,0,0,0,4884.51,9/28/1995,133906,A,IQ
3,13632222,-109.33,-109.33,0,28.75,12/16/1995,0,P,WD
38,4.56E+15,-200,-200,0,-5078.71,12/9/1995,85601,A,CA
92,13632752,-66.88,-66.88,0,201.56,2/5/1995,0,P,WD
11,13628102,0,0,0,2668.49,2/4/1995,201238,B,IQ
62,13627252,-18.92,-18.92,0,342.65,2/7/1995,0,P,WD
60,13627762,163.18,163.18,0,1054.66,7/6/1995,0,M,DP
4,13629823,-60,-60,0,1133.86,2/26/1995,115525,A,WD
16,13627053,-25.22,-25.22,0,25.22,12/12/1995,92854,B,WD
45,13633212,-0.15,-0.15,0,201.97,1/20/1995,0,,FK
15,13632432,-326.58,-326.58,0,2593.7,1/14/1995,60435,C,TR
93,13625122,1.86,0,1.86,1491.93,8/31/1995,235959,,IN
12,13632122,-73.38,-73.38,0,73.38,1/11/1995,191806,A,TR
25,4.56E+15,411.04,410.23,0.81,-161.78,7/3/1995,0,M,PM
33,4.56E+15,-60,-60,0,-909.31,6/4/1995,61215,A,CA
63,13632032,-10,-10,0,5.69,2/28/1995,235959,,FP
48,13632622,-20.18,-20.18,0,20.19,1/3/1995,0,P,WD
30,13626503,104.83,104.83,0,174.41,12/15/1995,131453,A,DP
47,4.56E+15,-86.99,-86.99,0,-402.47,9/15/1995,90509,E,CG
34,13632643,-185.49,-185.49,0,85.17,11/1/1995,123427,C,TR
36,4.56E+15,-159.5,-159.5,0,-750.31,9/30/1995,1600,E,CG
75,13627642,-418.27,-418.27,0,28.9,7/17/1995,100821,B,TR
9,4.56E+15,-12.47,-12.47,0,-2046.02,3/14/1995,190314,E,CG
41,13633242,0,0,0,2438.09,12/20/1995,105007,C,IQ
10,13626722,-24.22,-24.22,0,24.22,12/20/1995,0,P,WD
45,13627652,-116.65,-116.65,0,2717.53,1/27/1995,0,P,WD
65,4.56E+15,-98.68,-98.68,0,-906.25,11/22/1995,235803,E,CG
39,13634102,-417.85,-417.85,0,339.99,9/11/1995,104316,V,TR
32,4.56E+15,1070.85,1049.72,21.13,-1250.28,9/5/1995,0,M,PM
21,13633022,-0.75,-0.75,0,6539.77,1/27/1995,101547,,FU
29,13629803,-314.55,-314.55,0,536.74,12/27/1995,134648,C,TR
16,13628872,900.74,900.74,0,2143.76,1/5/1995,212513,B,DP
15,13632053,196.31,196.31,0,806.05,7/18/1995,5016,B,DP
9,13626743,0.02,0,0.02,13.13,4/30/1995,235959,,IN
69,13634082,200.35,200.35,0,418.58,1/7/1995,235821,E,DP
15,13634802,-0.15,-0.15,0,1322.41,2/12/1995,0,,FK
79,13634812,-87.76,-87.76,0,87.76,3/5/1995,0,P,WD
15,13633073,60.64,60.64,0,157.89,3/23/1995,0,M,DP
42,13629642,1.41,0,1.41,1129.97,5/31/1995,235959,,IN
1,4.56E+15,25.8,22.22,3.58,-232.16,1/6/1995,0,M,PM
63,13625312,0.01,0,0.01,9.93,2/28/1995,235959,,IN
34,13628872,-0.15,-0.15,0,1511.93,1/12/1995,0,,FK
16,13632413,0,0,0,158.01,5/22/1995,134254,V,IQ
91,13627542,0,0,0,122.36,12/12/1995,94400,C,IQ
8,13630482,-221.08,-221.08,0,828.64,9/24/1995,0,P,WD
45,4.56E+15,1000,1000,0,0,6/1/1995,0,M,PM
23,4.56E+15,-105.06,-105.06,0,-968.82,5/15/1995,213847,E,CG
89,13630932,-0.15,-0.15,0,373.4,6/15/1995,0,,FK
91,13633362,-120,-120,0,49.95,3/4/1995,165400,A,WD
33,13633532,338.53,338.53,0,1084.77,1/29/1995,22441,B,DP
22,4.56E+15,-102.92,-102.92,0,-144.94,9/20/1995,192013,E,CG
79,13632702,-31.28,-31.28,0,31.28,1/20/1995,0,P,WD
48,4.56E+15,-28.08,-28.08,0,-916.27,10/22/1995,115521,E,CG
17,13633893,-257.89,-257.89,0,219.53,6/6/1995,140759,B,TR
36,4.56E+15,-53.86,-53.86,0,-124.58,9/5/1995,135528,E,CG
32,13632472,-0.15,-0.15,0,113.05,1/18/1995,0,,FK
38,13625733,26.37,0,26.37,10573.18,11/30/1995,235959,,IN
142,4.56E+15,-92.6,-92.6,0,-5800.98,11/29/1995,163618,E,CG
76,13627762,0,0,0,464.95,8/29/1995,123920,B,IQ
12,13628553,142.58,142.58,0,202.54,8/30/1995,120450,B,DP
1,13632362,-114.81,-114.81,0,2862.84,1/1/1995,0,P,WD
9,13630592,-138.07,-138.07,0,3670.61,2/4/1995,210250,E,WD
41,13633982,128.93,128.93,0,1804.9,10/4/1995,121226,B,DP
70,13628872,-1497.42,-1497.42,0,31.63,1/29/1995,183022,E,WD
82,13630482,-277.9,-277.9,0,620.9,12/4/1995,0,P,WD
56,13631422,0,0,0,1312.21,8/9/1995,112651,V,IQ
4,13625093,-391.11,-391.11,0,47.32,1/19/1995,82140,B,WD
72,13631922,-180,-180,0,70.3,2/24/1995,95046,A,WD
5,4.56E+15,-564.52,-564.52,0,-11098.11,1/11/1995,154002,E,CG
62,13633272,0,0,0,761.85,5/21/1995,3826,V,IQ
17,13633853,1.85,0,1.85,740.08,9/30/1995,235959,,IN
83,4.56E+15,-84.51,-84.51,0,-2699.57,11/13/1995,153711,E,CG
41,4.56E+15,-66.21,-66.21,0,-2909.01,11/13/1995,194226,E,CG
62,13625632,-0.15,-0.15,0,488.03,1/22/1995,0,,FK
7,13629973,0.25,0,0.25,200.7,7/31/1995,235959,,IN
25,13629912,-54.58,-54.58,0,54.58,2/13/1995,233854,A,TR
3,4.56E+15,-261.26,-261.26,0,-909.41,1/13/1995,83115,E,CG
11,13624843,0.81,0,0.81,649.01,4/30/1995,235959,,IN
12,13628512,-53.18,-53.18,0,6206.77,2/3/1995,0,P,WD
53,13625482,-306.04,-306.04,0,3285.15,5/27/1995,0,P,WD
11,13630713,1.21,0,1.21,967.89,2/28/1995,235959,,IN
45,13631172,-23.9,-23.9,0,434.15,9/20/1995,0,P,WD
20,4.56E+15,107.96,107.39,0.57,-285.82,5/6/1995,0,M,PM
47,4.56E+15,-100.4,-100.4,0,-736.55,11/12/1995,202538,E,CG
5,4.56E+15,-245.81,-245.81,0,-768.34,3/28/1995,124703,E,CG
33,4.56E+15,-347.17,-347.17,0,-2593.03,7/13/1995,183013,E,CG
8,13634502,0,0,0,349.2,7/6/1995,150956,A,IQ
106,4.56E+15,-160,-160,0,-805.42,12/15/1995,40927,A,CA
19,13633952,225.94,225.94,0,3477.73,3/2/1995,203744,A,DP
22,4.56E+15,0,0,0,-561.64,5/1/1995,213146,A,IQ
7,13629052,-10,-10,0,2681.74,4/30/1995,235959,,FP
18,13631402,0,0,0,12.22,2/27/1995,182501,B,IQ
24,4.56E+15,-504.44,-504.44,0,-959.38,10/27/1995,160834,E,CG
42,13634712,-261.57,-261.57,0,1100.06,8/23/1995,0,P,WD
27,13633712,-10,-10,0,2190.69,2/28/1995,235959,,FP
89,13630362,341.93,341.93,0,343.88,8/20/1995,154937,A,DP
13,13634523,-286.5,-286.5,0,2371.39,12/28/1995,4229,C,TR
60,13626202,-51.14,-51.14,0,36.37,1/22/1995,0,P,WD
14,13633393,0.55,0,0.55,439.13,3/31/1995,235959,,IN
44,4.56E+15,1300,1300,0,0,10/4/1995,0,M,PM
40,13628982,0,0,0,1076.35,11/13/1995,90342,B,IQ
15,13626092,0,0,0,1022.39,1/6/1995,191139,A,IQ
6,13634472,-128.39,-128.39,0,2164.18,1/7/1995,183456,V,TR
82,13627152,-128.74,-128.74,0,109.9,3/7/1995,0,P,WD
89,13630372,-191.51,-191.51,0,344.9,2/24/1995,0,P,WD
80,13634692,51.06,51.06,0,61.42,11/28/1995,120449,A,DP
27,4.56E+15,-200,-200,0,-1500.35,6/12/1995,164140,A,CA
78,13628972,-0.15,-0.15,0,130.61,8/24/1995,0,,FK
10,13634623,0.62,0,0.62,497.24,6/30/1995,235959,,IN
17,4.56E+15,101.02,90.82,10.2,-909.18,6/1/1995,0,M,PM
40,4.56E+15,114.57,102.57,12,-1793.04,8/6/1995,0,M,PM
86,13632352,0.49,0,0.49,391.51,2/28/1995,235959,,IN
27,13629952,0,0,0,534.38,9/24/1995,143318,V,IQ
79,13628172,-11.46,-11.46,0,11.46,7/8/1995,170415,B,WD
77,13626332,-97.91,-97.91,0,97.9,2/14/1995,233243,C,TR
19,13633172,316.64,316.64,0,327.28,3/20/1995,0,M,DP
26,4.56E+15,-158.95,-158.95,0,-368.11,7/4/1995,135231,E,CG
29,13634043,67.21,67.21,0,750.04,12/20/1995,214821,A,DP
60,4.56E+15,0,0,0,-693.79,12/24/1995,134327,A,IQ
15,13626822,-109.47,-109.47,0,2947.44,3/29/1995,0,P,WD
34,13629052,192.37,192.37,0,1901.05,11/11/1995,103045,A,DP
42,4.56E+15,-40.03,-40.03,0,-815.67,11/2/1995,43821,E,CG
34,13630812,-162.16,-162.16,0,797.43,10/6/1995,0,P,WD
47,4.56E+15,-175.36,-175.36,0,-477.92,10/19/1995,195429,E,CG
8,13628483,29.38,29.38,0,5137.48,4/29/1995,140403,A,DP
49,13630432,-48.34,-48.34,0,2443.23,1/29/1995,0,P,WD
22,13625302,-0.75,-0.75,0,3355.71,5/3/1995,231915,,FU
92,13627762,223.17,223.17,0,235.93,10/21/1995,75614,B,DP
